,from,to,weight
74814,Kaynak B.,Sirunyan A.M.,164
74154,Karjavin V.,Sirunyan A.M.,164
24358,Baringer P.,Tumasyan A.,165
113845,Scheuch F.,Sirunyan A.M.,165
40,"""DellOrso R.""",Sirunyan A.M.,165
80078,Knutzen S.,Sirunyan A.M.,166
56976,Forthomme L.,Sirunyan A.M.,166
108998,Quaranta C.,Sirunyan A.M.,167
26009,Berger T.,Sirunyan A.M.,167
110181,Reitenspiess T.,Sirunyan A.M.,167
71165,Jomhari N.Z.,Sirunyan A.M.,167
95184,Michlin B.,Sirunyan A.M.,167
59446,Godizov A.,Sirunyan A.M.,168
116195,Sirunyan A.M.,Thapa K.,168
116327,Sirunyan A.M.,Troendle D.,168
109219,Raicevic N.,Sirunyan A.M.,168
114113,Scribano A.,Sirunyan A.M.,169
25574,Belyaev A.,Tumasyan A.,169
100028,Novak A.,Sirunyan A.M.,169
116230,Sirunyan A.M.,Tishelman-Charny A.,169
86802,Lefeld A.,Sirunyan A.M.,169
117133,Sirunyan A.M.,Özçelik,169
95308,Milosevic V.,Sirunyan A.M.,169
84403,Köseyan O.K.,Sirunyan A.M.,169
23385,Bakas G.,Sirunyan A.M.,170
50994,Diab B.,Sirunyan A.M.,170
47451,Corpe L.,Sirunyan A.M.,171
86512,Lee Y.,Tumasyan A.,171
40487,Chauhan S.,Tumasyan A.,171
116137,Sirunyan A.M.,Tarkovskii E.,171
95247,Mikuni V.M.,Sirunyan A.M.,173
104023,Pequegnot A.L.,Sirunyan A.M.,173
95435,Mishra D.K.,Sirunyan A.M.,173
56394,Finger M.,Tumasyan A.,173
41590,Chen Y.,Tumasyan A.,175
116549,Sirunyan A.M.,Verma R.K.,175
47574,Costanza F.,Sirunyan A.M.,175
52803,Duh Y.t.,Sirunyan A.M.,175
77096,Kim H.,Tumasyan A.,176
92450,Malik S.,Tumasyan A.,176
59015,Ghosh S.,Tumasyan A.,176
33134,Casasso S.,Sirunyan A.M.,176
65092,Hoss J.,Sirunyan A.M.,176
23735,Banerjee S.,Tumasyan A.,176
96833,Mukherjee S.,Tumasyan A.,176
114698,Sharma V.,Tumasyan A.,176
122103,Tumasyan A.,Wang Q.,176
122108,Tumasyan A.,Wang Z.,176
116849,Sirunyan A.M.,Wulsin H.W.,176
83597,Kumar A.,Tumasyan A.,176
102765,Park J.,Tumasyan A.,176
86459,Lee S.W.,Tumasyan A.,176
86284,Lee H.,Tumasyan A.,176
86358,Lee K.,Tumasyan A.,176
59596,Golovtsov V.,Sirunyan A.M.,177
107080,Popova E.,Sirunyan A.M.,178
98263,Nawrocki K.,Sirunyan A.M.,179
50741,Dezoort G.,Sirunyan A.M.,179
112871,Sandoval Gonzalez I.D.,Sirunyan A.M.,180
107403,Pozzobon N.,Sirunyan A.M.,180
27673,Bolla G.,Sirunyan A.M.,180
29,"""DHondt J.""",Sirunyan A.M.,181
54139,Endres M.,Sirunyan A.M.,181
14389,Al-bataineh A.,Sirunyan A.M.,181
12,"""DAlfonso M.""",Sirunyan A.M.,181
10,"""DAlessandro R.""",Sirunyan A.M.,181
110,"""ODell V.""",Sirunyan A.M.,181
116166,Sirunyan A.M.,Teixeira De Lima R.,182
100469,Ocalan K.,Sirunyan A.M.,182
24444,Barnyakov A.,Sirunyan A.M.,182
94848,Menendez N.,Sirunyan A.M.,182
29467,Bourgatte G.,Sirunyan A.M.,182
114009,Schuh T.,Sirunyan A.M.,183
95253,Mildner H.,Sirunyan A.M.,183
107486,Prado Da Silva W.L.,Sirunyan A.M.,183
76697,Khvedelidze A.,Sirunyan A.M.,184
12707,Acharya H.,Sirunyan A.M.,184
112275,Saibel A.,Sirunyan A.M.,185
93889,May S.,Sirunyan A.M.,187
113618,Saunders M.,Sirunyan A.M.,188
33540,Chadeeva M.,Sirunyan A.M.,188
31391,Burkle B.,Sirunyan A.M.,188
91534,Madigan G.,Sirunyan A.M.,188
116380,Sirunyan A.M.,Turkewitz J.,189
77298,Kim Y.,Sirunyan A.M.,189
116781,Sirunyan A.M.,Wilkinson R.,190
115981,Sirunyan A.M.,Stolin V.,190
29861,Brianza L.,Sirunyan A.M.,190
110872,Roguljic M.,Sirunyan A.M.,190
89909,Lo Meo S.,Sirunyan A.M.,190
42695,Chiarito B.,Sirunyan A.M.,191
116390,Sirunyan A.M.,Tziaferi E.,191
94483,Meena M.,Sirunyan A.M.,193
96798,Muhammad A.,Sirunyan A.M.,193
84276,Kwan S.,Sirunyan A.M.,194
93327,Martin Perez C.,Sirunyan A.M.,194
122246,Tumasyan A.,Zhang Y.,195
24915,Bauer G.,Sirunyan A.M.,195
62920,Haubrich N.,Sirunyan A.M.,195
30924,Bunichev V.,Sirunyan A.M.,196
68629,Jain S.,Tumasyan A.,196
107973,Presilla M.,Sirunyan A.M.,196
77035,Kilminster B.,Tumasyan A.,196
59036,Giacomelli P.,Tumasyan A.,196
60943,Gunter T.,Sirunyan A.M.,197
111736,Rusinov V.,Sirunyan A.M.,198
84487,Laflotte I.,Sirunyan A.M.,198
74449,Kassel F.,Sirunyan A.M.,198
25322,Beirão Da Cruz E Silva C.,Sirunyan A.M.,199
113657,Savina M.,Sirunyan A.M.,199
116953,Sirunyan A.M.,Zabel J.,199
116276,Sirunyan A.M.,Toriashvili T.,200
87444,Leonard J.,Sirunyan A.M.,200
116426,Sirunyan A.M.,Vadruccio D.,200
33099,Carver M.,Sirunyan A.M.,200
83642,Kumar R.,Sirunyan A.M.,200
98400,Nemallapudi M.V.,Sirunyan A.M.,200
115127,Sieber G.,Sirunyan A.M.,200
116787,Sirunyan A.M.,Williamson S.,200
83980,Kunnawalkam Elayavalli R.,Sirunyan A.M.,202
93313,Martin Blanco J.,Sirunyan A.M.,202
94203,Md Ali M.A.B.,Sirunyan A.M.,203
92886,Manolopoulos K.,Sirunyan A.M.,203
25178,Beck L.,Sirunyan A.M.,204
116879,Sirunyan A.M.,Xu Z.,204
94959,Mertens A.,Sirunyan A.M.,205
84416,Künsken A.,Sirunyan A.M.,205
97428,Nagy M.I.,Sirunyan A.M.,205
94143,McLean C.,Sirunyan A.M.,206
115802,Sirunyan A.M.,Skhirtladze N.,206
20106,Asghar M.I.,Sirunyan A.M.,206
116673,Sirunyan A.M.,Wang C.,206
116273,Sirunyan A.M.,Topsis-Giotis I.,206
